q0,q1,q2,q3,q4,q5
0.12578914239431577,0.12265367897430056,0.12745703854171705,0.10971576850730091,0.12436787845562047,0.11272491160531138
0.12703626389481196,0.12382398760528167,0.1287857238030396,0.11104364451767743,0.12573509832738025,0.11386497316374808
0.1282703947590303,0.12498072235929554,0.13010277169603768,0.11236679681700414,0.1270918122254,0.11499299297239102
0.12949142139925998,0.12612382872209352,0.1314080992216145,0.11368508385165359,0.1284378509474339,0.11610884740636916
0.13069923746611095,0.1272532614469803,0.13270163211112945,0.11499836663538969,0.12977305177173215,0.11721242030941718
0.13189374385129216,0.12836898451095438,0.13398330478078058,0.11630650876892522,0.13109725849668985,0.1183036030133826
0.13307484868628033,0.12947097106422673,0.135253060279102,0.11760937645813828,0.1324103214761294,0.11938229435304526
0.13424246733689385,0.1305592033731731,0.13651085022764586,0.11890683853095377,0.13371209765020386,0.12044840067625007
0.13539652239378802,0.13163367275677848,0.13775663475492503,0.1201987664528942,0.13500245057191185,0.12150183584935839
0.13653694365889177,0.13269437951663923,0.13899038242369804,0.12148503434130739,0.13628125042921885,0.12254252125802495
0.13766366812780745,0.13374133286059212,0.14021207015168327,0.12276551897827709,0.13754837406278062,0.1235703858033114
0.13877663996819825,0.1347745508200443,0.14142168312579473,0.12404009982222507,0.1388037049792702,0.12458536589315063
0.13987581049419046,0.13579406016108447,0.14261921470999783,0.125308659018213,0.14004713336031094,0.12558740542917823
0.14096113813681918,0.13679989628945816,0.14380466634688746,0.12657108140695325,0.14127855606702222,0.1265764557889514
0.14203258841054955,0.1377921031494961,0.14497804745309792,0.1278272545325386,0.14249787664018704,0.12755247580357812
0.1430901338759081,0.1387707331170895,0.14613937530865653,0.12907706864890173,0.1437050052960544,0.12851543173078253
0.1441337540982596,0.13973584688680926,0.1472886749404009,0.1303204167250154,0.1448998589177919,0.12946529722343578
0.1451634356027689,0.14068751335327165,0.14842597899958193,0.13155719444884595,0.14608236104260677,0.130402053293584
0.14617917182558904,0.14162580948685707,0.14955132763378073,0.1327873002300716,0.1472524418445579,0.13132568827200825
