q0,q1,q2,q3,q4,q5,q6
-0.283181159,-0.434673894,-0.381092900,-1.382799238,0.470648360,0.573087792,-0.254997454
-0.283691022,-0.433949924,-0.381161149,-1.385263446,0.469416858,0.572817124,-0.255054268
-0.284203292,-0.433221256,-0.381231747,-1.387721065,0.468182377,0.572544890,-0.255113124
-0.284717963,-0.432487892,-0.381304697,-1.390172079,0.466944927,0.572271094,-0.255174025
-0.285235028,-0.431749833,-0.381380003,-1.392616473,0.465704519,0.571995741,-0.255236974
-0.285754479,-0.431007080,-0.381457666,-1.395054231,0.464461165,0.571718835,-0.255301975
-0.286276309,-0.430259636,-0.381537691,-1.397485337,0.463214876,0.571440379,-0.255369029
-0.286800511,-0.429507501,-0.381620079,-1.399909777,0.461965663,0.571160379,-0.255438140
-0.287327078,-0.428750677,-0.381704833,-1.402327534,0.460713537,0.570878839,-0.255509311
-0.287856002,-0.427989167,-0.381791957,-1.404738594,0.459458508,0.570595763,-0.255582544
-0.288387277,-0.427222971,-0.381881452,-1.407142942,0.458200589,0.570311155,-0.255657842
-0.288920895,-0.426452091,-0.381973322,-1.409540562,0.456939790,0.570025019,-0.255735207
-0.289456849,-0.425676530,-0.382067569,-1.411931439,0.455676123,0.569737360,-0.255814642
-0.289995132,-0.424896289,-0.382164195,-1.414315558,0.454409598,0.569448183,-0.255896151
-0.290535735,-0.424111370,-0.382263204,-1.416692903,0.453140227,0.569157490,-0.255979734
-0.291078652,-0.423321775,-0.382364598,-1.419063461,0.451868022,0.568865288,-0.256065396
-0.291623875,-0.422527506,-0.382468380,-1.421427215,0.450592993,0.568571579,-0.256153138
-0.292171397,-0.421728565,-0.382574552,-1.423784152,0.449315152,0.568276369,-0.256242963
-0.292721210,-0.420924955,-0.382683116,-1.426134255,0.448034510,0.567979661,-0.256334874
-0.293273307,-0.420116677,-0.382794076,-1.428477511,0.446751078,0.567681460,-0.256428873
-0.293827680,-0.419303733,-0.382907433,-1.430813905,0.445464868,0.567381769,-0.256524962
-0.294384321,-0.418486127,-0.383023190,-1.433143421,0.444175891,0.567080595,-0.256623144
-0.294943223,-0.417663859,-0.383141349,-1.435466046,0.442884159,0.566777939,-0.256723421
-0.295504378,-0.416836933,-0.383261913,-1.437781764,0.441589683,0.566473808,-0.256825795
-0.296067779,-0.416005352,-0.383384885,-1.440090561,0.440292474,0.566168204,-0.256930269
-0.296633417,-0.415169116,-0.383510266,-1.442392423,0.438992544,0.565861133,-0.257036845
-0.297201285,-0.414328230,-0.383638058,-1.444687335,0.437689904,0.565552599,-0.257145525
-0.297771375,-0.413482695,-0.383768265,-1.446975282,0.436384566,0.565242605,-0.257256312
-0.298343679,-0.412632514,-0.383900889,-1.449256251,0.435076541,0.564931156,-0.257369208
-0.298918190,-0.411777690,-0.384035930,-1.451530227,0.433765841,0.564618257,-0.257484214
-0.299494899,-0.410918225,-0.384173393,-1.453797195,0.432452478,0.564303911,-0.257601334
-0.300073798,-0.410054123,-0.384313279,-1.456057142,0.431136462,0.563988123,-0.257720568
-0.300654881,-0.409185385,-0.384455590,-1.458310053,0.429817805,0.563670897,-0.257841920
-0.301238137,-0.408312015,-0.384600328,-1.460555914,0.428496520,0.563352238,-0.257965390
-0.301823560,-0.407434016,-0.384747496,-1.462794712,0.427172618,0.563032149,-0.258090982
-0.302411142,-0.406551391,-0.384897096,-1.465026432,0.425846110,0.562710635,-0.258218697
-0.303000874,-0.405664143,-0.385049129,-1.467251059,0.424517007,0.562387699,-0.258348538
-0.303592748,-0.404772274,-0.385203597,-1.469468582,0.423185323,0.562063347,-0.258480505
-0.304186756,-0.403875787,-0.385360503,-1.471678984,0.421851067,0.561737583,-0.258614601
-0.304782890,-0.402974687,-0.385519849,-1.473882253,0.420514253,0.561410410,-0.258750828
-0.305381142,-0.402068976,-0.385681637,-1.476078375,0.419174891,0.561081833,-0.258889188
