joint_names,arm_left_1_joint,arm_left_2_joint,arm_left_3_joint,arm_left_4_joint,arm_left_5_joint,arm_left_6_joint,arm_left_7_joint,arm_right_1_joint,arm_right_2_joint,arm_right_3_joint,arm_right_4_joint,arm_right_5_joint,arm_right_6_joint,arm_right_7_joint,gripper_left_joint,gripper_right_joint,head_1_joint,head_2_joint,leg_left_1_joint,leg_left_2_joint,leg_left_3_joint,leg_left_4_joint,leg_left_5_joint,leg_left_6_joint,leg_right_1_joint,leg_right_2_joint,leg_right_3_joint,leg_right_4_joint,leg_right_5_joint,leg_right_6_joint,torso_1_joint,torso_2_joint,,,,
gripper,talos/right_gripper,handle,table/contact_14,joint_states,0.00987757174854,1.07394562129,1.55113261057,-1.00569410308,-0.250763194979,0.586950477715,0.153957470449,0.283416170932,-2.69975519494,1.72208709948,-1.97570445746,2.33242401978,0.7799348056,0.56836408472,-4.36332283642e-05,-5.24962290349e-05,0.764133662447,-1.2297632094,-0.122093191709,0.165557633172,-0.972450083574,0.297021987414,0.192105382805,-0.139457786319,-0.123500240391,0.162903131426,-1.04257276072,0.545609436619,0.0188541243431,-0.136476135919,0.586793670794,0.706738984178
gripper,talos/right_gripper,handle,table/contact_04,joint_states,0.362004641833,1.16635725012,-0.305941922026,-1.49240847043,0.282214115451,-0.228403944278,0.468529206198,-0.698639217567,-2.25466578582,-0.322546784686,-1.50003906611,1.74748071331,-0.649074313432,0.0171178620543,2.93587376632e-12,-1.84077670817e-05,-0.181285967896,-1.24329397989,0.069500228924,0.432100084505,-1.56896967193,0.274941005089,0.345091204257,-0.217418373032,0.0525340386774,0.420935774502,-1.55781437703,0.429015130894,0.186871519409,-0.198344874976,0.282012540793,0.434563574561
gripper,talos/right_gripper,handle,table/contact_24,joint_states,0.104391506106,0.477403598468,0.837499341489,-0.66668962202,2.12111720751,0.243403549306,-0.645480366888,1.21972556282,-2.7693325065,2.17108279672,-2.21621970204,2.42636164764,0.961833906543,0.435737128453,2.93587376632e-12,2.04531009018e-06,0.467986058615,-0.712836163658,0.0110554586402,0.478582977275,-1.31248616672,0.277700445844,0.274494052815,-0.221430062655,-0.0063893591786,0.461947453308,-1.22153654682,0.279531525,0.192645998338,-0.198668330393,-0.0155123807131,0.314553306674
gripper,talos/right_gripper,handle,table/contact_25,joint_states,-0.344936850011,0.11711665887,2.30177700111,-0.462872470947,1.08518642562,1.18889203834,0.548586640864,0.0571761011064,-2.7244046313,0.905043391794,-1.80229607866,-0.285793084377,0.134831457101,-0.375295558333,2.93587376632e-12,-4.15879212095e-05,0.763688467134,-1.21507647254,-0.28788589918,-0.151627779497,-1.63458953508,0.952661809991,-0.065217497518,0.0742342925088,-0.298883088951,-0.163320581952,-1.74252052433,1.1907232034,-0.197066614515,0.0902022744622,0.166009318345,-0.173124112983
gripper,talos/right_gripper,handle,table/contact_28,joint_states,0.727693822764,1.8089738452,1.40806061933,-0.156837551336,-1.76391635872,-0.952779670164,-0.0560172286428,0.373962316638,-1.75677032536,-2.07770075752,-0.0903533858825,-1.44247499894,-1.35775230259,-0.541472719739,-4.36332283642e-05,2.04531009018e-06,0.724505825427,-1.24337262303,-0.0518786598175,-0.404777325547,-1.22086916416,0.898911123183,-0.200689093324,0.196154440043,-0.0619570973621,-0.420710407817,-1.3334759186,1.0212255531,-0.214438946938,0.214568627745,1.05016180928,-0.102389862008
gripper,talos/right_gripper,handle,table/contact_26,joint_states,-1.18111410493,2.40934150207,0.558962944976,-2.12346036316,-1.80263499254,-0.0332747703662,-0.223547020219,0.276583278563,-1.83060705349,-1.43668661831,-0.197526871104,-0.0512320821014,1.31820832318,0.619934814385,-8.72664596638e-05,2.04531009018e-06,0.264698833989,-1.24352533934,-0.268579012453,0.474216447804,-1.04393119144,0.701686736046,0.00645775479594,-0.291202457366,-0.278598545135,0.448303947204,-0.992441309836,0.81958221046,-0.158539728289,-0.263782777253,0.846260289268,0.719844932534
gripper,talos/right_gripper,handle,table/contact_27,joint_states,-0.0122442548333,1.37399554027,-2.19795047022,-0.285129158317,2.24810684829,1.24114283282,-0.619147711799,-0.0448791562966,-1.96835039007,0.357799580667,-0.975957885511,-1.92794923869,0.355637424094,0.591245964806,4.3633234236e-05,2.04531009018e-06,0.621749565716,-1.24350352273,-0.012754377557,0.0923900244869,-0.949489746762,0.649534116335,-0.0665808229433,-0.10736492194,-0.012617730239,0.0927412494058,-0.964970590139,0.70369671145,-0.105268410478,-0.107741049644,1.01610983264,0.644375474615
gripper,talos/right_gripper,handle,table/contact_07,joint_states,0.293657995624,1.05810426527,0.218289780437,-1.21057018027,0.780603035328,0.951396360378,0.418603244821,1.43832770716,-2.60240439422,0.628278743091,-0.887358031416,0.00355116552392,1.25107859683,-0.591956368353,2.93587376632e-12,2.04531009018e-06,-0.0209242980997,-0.107468712604,-0.206652821638,0.0543670452545,-1.50166626486,1.69919585427,-0.438177122691,-0.138408098739,-0.208037883262,0.0487551097096,-1.50901892754,1.83623213642,-0.567791421427,-0.132628369135,0.078934337028,0.536140187067
gripper,talos/right_gripper,handle,table/contact_18,joint_states,-0.280287213559,0.864189458731,2.08088376766,-0.207077339616,-0.520558777214,1.24823323291,-0.0426000100181,0.696482972182,-1.5352498068,0.264496157982,-1.4420071348,0.271428313036,1.13627956528,-0.197948289715,2.93587376632e-12,2.04531009018e-06,0.761419539107,-0.487950489539,-0.236659122095,0.250703296666,-1.42087437298,1.93484802821,-0.67503813741,-0.175990628042,-0.239873506941,0.231510505223,-1.32266135404,1.97503162685,-0.812664609549,-0.156545559686,0.168037528568,-0.0206957976735
gripper,talos/right_gripper,handle,table/contact_09,joint_states,0.289248398304,1.01384294509,1.93984286285,-0.498706262153,-0.121098675193,1.21374116357,0.353393380644,0.0323399510263,-0.927060204271,-1.01391767821,-1.55292065693,1.08890776714,1.20050768175,-0.659587876867,4.3633234236e-05,2.04531009018e-06,0.71586644563,-1.13985278177,0.304269136729,0.313200673581,-1.052250161,0.780686882976,-0.149498236956,-0.154243412788,0.295529966678,0.294511931517,-0.838051895963,0.274228996566,0.145372545407,-0.13377790548,0.970793643319,0.702689274898
