,,,,joint_names,arm_left_1_joint,arm_left_2_joint,arm_left_3_joint,arm_left_4_joint,arm_left_5_joint,arm_left_6_joint,arm_left_7_joint,arm_right_1_joint,arm_right_2_joint,arm_right_3_joint,arm_right_4_joint,arm_right_5_joint,arm_right_6_joint,arm_right_7_joint,gripper_left_joint,gripper_right_joint,head_1_joint,head_2_joint,leg_left_1_joint,leg_left_2_joint,leg_left_3_joint,leg_left_4_joint,leg_left_5_joint,leg_left_6_joint,leg_right_1_joint,leg_right_2_joint,leg_right_3_joint,leg_right_4_joint,leg_right_5_joint,leg_right_6_joint,torso_1_joint,torso_2_joint
gripper,talos/left_gripper,handle,table/contact_34,joint_states,-1.29988188622,1.58281826341,-1.24829172658,-0.82152916338,-1.5670591661,0.308216282902,0.126489328692,0.426484895399,-0.715873910413,0.911529254312,-0.338365961561,2.34246727962,0.0300056868649,-0.243268558997,3.34066956502e-05,1.84077718273e-05,0.658297169314,0.24695230201,-0.297968039041,-0.254804006001,-0.119455356925,0.681807847058,-0.297449245841,0.171452164104,-0.293782014805,-0.269657677439,-0.0256779108503,0.672874027483,-0.381209503245,0.186842708132,-1.20088764559,0.713444158012
gripper,talos/left_gripper,handle,table/contact_26,joint_states,-0.738014240639,1.76271061248,-1.97316571925,-1.0831457518,-2.29109042808,-0.981931100172,0.504920343756,-0.680959584387,-0.423601418347,2.30255741384,-0.256589445759,2.38681082924,-1.26812657754,0.647329325065,3.34066956502e-05,1.84077718273e-05,0.762187893039,0.879110557082,0.273490119016,-0.339353305986,-0.501901694533,0.165051852959,0.0801228678132,0.120431165733,0.267685224115,-0.360103690701,-0.672007293494,0.339697218262,0.073566904726,0.14189213497,-0.387208149527,0.658849302402
gripper,talos/left_gripper,handle,table/contact_28,joint_states,-0.607661914144,2.68091340479,-1.64744311497,-1.96975596758,2.14654821213,-0.554020000814,-0.258355771373,-0.723002154758,-0.449785146329,1.16976820879,-0.790293958956,-1.57900504149,-1.22366431484,0.636944616015,-1.02265356499e-05,1.84077718273e-05,0.761664294264,1.00267986812,-0.0950227898652,-0.388805201485,-1.30561367106,1.86629845137,-0.724507579712,0.213692641258,-0.0995694114589,-0.414107218549,-1.35785393871,1.97138481017,-0.779175891474,0.239337884822,-1.19409450755,0.366761144367
gripper,talos/left_gripper,handle,table/contact_25,joint_states,-0.451945360645,1.90431686792,-0.594008653552,-0.79160023947,-2.4003357461,1.04738503774,0.269453611046,-0.712598729349,-1.24654058054,2.02323485217,-0.752833189378,0.730397282248,-0.768351546229,0.268592877382,3.34066956502e-05,1.84077718273e-05,0.553184715113,0.878128809378,-0.162691386627,-0.306605284203,-1.70725298454,1.94537822895,-0.617393536246,0.138408926959,-0.172939508013,-0.330897304016,-1.77679080305,2.05810585738,-0.663749589613,0.164576255569,-0.262593302747,0.0968601009527
gripper,talos/left_gripper,handle,table/contact_27,joint_states,-0.0649548834919,2.63364483638,0.526600744042,-1.67172746895,0.99927247601,-0.842042960625,0.614919719863,0.327250870873,-1.44716950796,0.642581196462,-1.70797399686,1.27172184501,0.311723644752,0.486519051109,-1.02265356499e-05,-2.52254594728e-05,-0.0643127742427,0.680732070977,0.077593000234,0.00122555100911,-1.40117875667,0.907261844015,-0.0376628882466,0.0606856516306,0.0774339727552,0.000919067426461,-1.34010865721,0.763834043112,0.044699303774,0.0610316031413,-0.306353939674,0.603206066798
gripper,talos/left_gripper,handle,table/contact_26,joint_states,-0.91534078179,1.33326102862,0.189044436716,-0.313492942454,1.03416862146,-0.585009139807,0.67634917361,-0.702566745277,-1.79909929701,1.61469981568,-0.759185787315,-1.21132374833,0.0556886158695,-0.56367828474,2.72707724984e-05,-2.52254594724e-05,0.58760110807,0.571423231236,0.302662381336,-0.0446872604881,-0.370563697581,0.816359353731,-0.360520304042,0.0546828008377,0.303681553368,-0.0565129573186,-0.434649652495,0.788764832575,-0.268782133824,0.0665544916594,-0.0610195985773,0.706556584275
gripper,talos/left_gripper,handle,table/contact_16,joint_states,-0.94861789529,1.41602546034,1.83407009384,-0.502265576949,2.25832459845,1.32856985208,-0.672921237876,-0.714256776888,-1.93984058105,1.96239190106,-1.80440194666,-1.54250636548,-0.357539901156,-0.0481298403161,-1.63624588017e-05,-2.52254594724e-05,0.41607887583,0.755599100552,0.189637858761,-0.492442583336,-0.891847760087,0.181681279551,0.126023887308,0.167819579418,0.170071417681,-0.518081701222,-0.998897640654,0.168084298996,0.237207181488,0.198641058896,-0.528995911227,-0.0290332229401
gripper,talos/left_gripper,handle,table/contact_35,joint_states,-0.438114256175,1.89848315109,0.32253527983,-1.72891235524,0.26613991427,-1.29782342294,0.618513325522,0.922208137135,-0.922154710321,0.0217489713582,-1.43818512579,2.33745835298,0.0859918950073,-0.0576418847394,-1.63624588017e-05,-6.88586907724e-05,0.279201429242,0.695887023519,0.275969479381,-0.310777870945,-0.996490177008,0.734177253409,-0.138211014572,0.206813636834,0.269158395348,-0.32600566378,-0.975556205491,0.496813791116,0.0760778395281,0.223360361926,-0.776682995357,0.577683023332
gripper,talos/left_gripper,handle,table/contact_33,joint_states,0.0172585655445,2.61932881939,0.0874814862259,-2.16024474309,-0.643970887182,-0.453913096366,-0.245424654215,0.964075026337,-0.774995896547,1.09405906637,-0.32684288963,2.15670460305,-1.05988220877,-0.580171646171,-1.63624588017e-05,-2.52254594724e-05,0.421751195899,0.819609050869,0.180158266554,-0.110075090063,-1.36142133023,1.26521440411,-0.295348171531,0.0943100050278,0.178007211624,-0.115253220397,-1.35578498212,1.14391860957,-0.17993396659,0.0999185737959,-0.34070648068,0.572583495951
gripper,talos/left_gripper,handle,table/contact_15,joint_states,0.0463234646834,2.29802036391,-0.442826218264,-0.542859502287,2.22191268823,-0.981438862781,0.653987142569,1.53233953328,-2.31345138713,-0.242599061604,-2.10664314004,1.31889798603,0.661339682927,-0.307616666856,-1.63624588017e-05,-6.88586907724e-05,-0.09381906514,1.24330954341,-0.245327097851,-0.219504115575,-1.20698685567,0.561747449958,0.161765639665,0.151889340815,-0.251159706672,-0.230316018172,-1.31869812036,0.825827990071,0.00809756343701,0.164106557012,-1.10794854335,0.69713650413
gripper,talos/left_gripper,handle,table/contact_28,joint_states,0.277845349268,2.65186112063,0.0553469855647,-1.87309696193,-0.787675166129,-0.0867217289777,-0.47921150752,1.08945277323,-0.702596684019,1.08463083695,-0.340789651206,2.153943917,-1.04791579509,-0.573368270934,2.93587376632e-12,-2.52254594724e-05,0.323900265863,1.02379547053,0.221179022046,-0.338717608116,-1.43639751745,1.33835892773,-0.367086700552,0.202771927321,0.211901028459,-0.356048335783,-1.48001729244,1.21939036633,-0.207658751855,0.222179619134,-0.686862907483,0.478969681841
